,id,pred_label,probs
15,15,per:colleagues,"[0, 0.00017858186, 3.0507035e-05, 2.9223947e-05, 6.1161256e-05, 4.6336318e-05, 0.0001206282, 2.6504971e-05, 4.350769e-05, 2.6712853e-05, 0.00016395596, 9.312113e-05, 0.00013225795, 0.00019776865, 0.9969825, 7.72019e-05, 0.00039177656, 0.0005006007, 4.654039e-05, 8.259837e-05, 5.2250176e-05, 0.00030392635, 5.237789e-05, 2.8770872e-05, 7.400004e-05, 2.8546978e-05, 3.2538057e-05, 7.953595e-05, 6.89672e-05, 4.7481495e-05]"
16,16,per:alternate_names,"[0, 1.6037066e-05, 1.1755906e-05, 4.654094e-05, 9.472952e-05, 0.00011340407, 0.0002693985, 1.363709e-05, 6.607134e-05, 1.789064e-05, 3.4317138e-05, 3.203398e-05, 0.99845576, 3.92872e-05, 3.921054e-05, 4.033687e-05, 6.436575e-05, 3.018143e-05, 2.1349651e-05, 2.2113576e-05, 2.1855945e-05, 5.4166667e-05, 1.938221e-05, 3.5701603e-05, 3.7078502e-05, 0.000109486486, 0.00020454766, 3.674507e-05, 2.3174827e-05, 2.9396031e-05]"
17,17,no_relation,"[0.69140625, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793, 0.010641163793]"
18,18,no_relation,"[0.81884765625, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543, 0.006246632543]"
19,19,org:product,"[0, 0.000111346046, 0.0005114138, 0.99492365, 0.00018919804, 0.0004927834, 4.719871e-05, 5.2963394e-05, 0.0020848506, 6.3886044e-05, 7.2711206e-05, 3.483615e-05, 0.00015243371, 3.5906884e-05, 4.3185268e-05, 2.5862759e-05, 7.296016e-05, 8.643105e-05, 6.56891e-05, 0.00010263942, 0.00013641988, 5.2834243e-05, 6.978925e-05, 4.8223716e-05, 6.382369e-05, 5.8168902e-05, 4.4166223e-05, 8.451136e-05, 0.00017803912, 9.425623e-05]"
20,20,per:spouse,"[0, 7.091939e-05, 9.693531e-05, 0.00011360589, 6.246403e-05, 4.623835e-05, 6.206878e-05, 6.9141366e-05, 8.311584e-05, 7.221229e-05, 0.0033641106, 0.0001281835, 0.0001089341, 0.0012919237, 0.001130142, 4.6374014e-05, 0.0011180668, 0.99099606, 0.000109949426, 4.230657e-05, 5.37948e-05, 0.0003077591, 0.00012887384, 5.7995887e-05, 5.7600777e-05, 4.5878518e-05, 5.8166046e-05, 0.00013249487, 7.762394e-05, 6.701412e-05]"
21,21,org:top_members/employees,"[0, 0.9993961, 2.1558406e-05, 2.7151933e-05, 5.797568e-05, 3.8686187e-05, 2.744601e-05, 6.7046217e-06, 1.2772934e-05, 1.5588712e-05, 1.1228129e-05, 2.08035e-05, 1.4544475e-05, 9.976756e-06, 5.398653e-05, 1.6304954e-05, 1.7187862e-05, 1.2422338e-05, 7.342045e-06, 3.1752545e-05, 2.5568448e-05, 9.650937e-06, 2.2764656e-05, 1.1377136e-05, 2.1151754e-05, 1.5183054e-05, 7.4795457e-06, 1.1371581e-05, 6.5120184e-05, 1.0941285e-05]"
22,22,org:top_members/employees,"[0, 0.96404845, 0.0048841015, 0.003608351, 0.0004008136, 0.0016153312, 0.00021044185, 0.00035963798, 0.00027379865, 0.013805234, 0.0003652123, 0.00017226156, 7.258485e-05, 0.00026602342, 0.0002017879, 0.00012359163, 0.00033595687, 0.00022999936, 0.0005052553, 0.0008278552, 0.00092376466, 0.00018017633, 0.0020985752, 0.001311973, 0.00020799012, 0.00038545867, 8.910668e-05, 0.00018035233, 0.0020924364, 0.00022357707]"
23,23,per:employee_of,"[0, 0.0008064896, 0.00029395116, 6.6687346e-05, 0.011347287, 6.5269895e-05, 0.9558227, 0.00012866882, 0.00025657663, 0.00024156163, 0.00017820337, 0.020032143, 0.00050370354, 9.3860726e-05, 0.0018433708, 0.0051346407, 0.00021600643, 0.00020641692, 9.2045295e-05, 0.000113328264, 8.4218416e-05, 0.000103995866, 7.4322495e-05, 0.000259411, 0.00021432547, 0.0001695454, 0.00058975234, 0.00065184076, 0.00012854322, 0.00028117577]"
24,24,no_relation,"[0.6611328125, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431, 0.011685075431]"
25,25,org:place_of_headquarters,"[0, 0.00010934593, 0.0024127213, 0.00027017164, 4.523848e-05, 0.000547363, 2.7171878e-05, 0.99062246, 0.00010189674, 0.00012243174, 0.000113646274, 0.00019191981, 4.9684757e-05, 7.222033e-05, 6.0048424e-05, 6.379649e-05, 8.643642e-05, 7.498734e-05, 0.00012068084, 0.00010926587, 0.003985682, 8.43929e-05, 0.00016997445, 6.111329e-05, 5.3827058e-05, 4.9249986e-05, 9.924511e-05, 0.00014708715, 9.992588e-05, 4.7921552e-05]"
26,26,org:top_members/employees,"[0, 0.9865041, 0.00068771053, 0.0030372858, 0.0018296567, 0.0013425328, 3.756758e-05, 0.00016681146, 9.0296126e-05, 0.00045655083, 0.00014415197, 9.763339e-05, 3.5917317e-05, 8.941862e-05, 0.00014323983, 7.3697556e-05, 0.00010955799, 8.8722765e-05, 0.000108123095, 0.00034019214, 0.0011652742, 7.7916186e-05, 0.00034357255, 0.00016089166, 8.933133e-05, 0.00014974801, 4.430868e-05, 9.7728785e-05, 0.0024215353, 6.664525e-05]"
27,27,no_relation,"[0.8408203125, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741, 0.005488954741]"
28,28,no_relation,"[0.873779296875, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039, 0.004352438039]"
29,29,no_relation,"[0.8677978515625, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774, 0.004558694774]"
30,30,no_relation,"[0.705322265625, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185, 0.010161301185]"
31,31,org:place_of_headquarters,"[0, 0.00017902382, 0.0016838731, 0.00022319345, 4.0224524e-05, 0.0003740754, 4.3408214e-05, 0.9617484, 6.762706e-05, 0.00015597588, 9.945948e-05, 0.00020690898, 3.8420014e-05, 6.434141e-05, 5.8698057e-05, 9.999512e-05, 9.611742e-05, 6.484605e-05, 8.841791e-05, 0.00022029715, 0.033689637, 8.7302506e-05, 0.00013707814, 5.568285e-05, 6.567453e-05, 6.471952e-05, 0.0001007794, 0.00011414227, 8.83316e-05, 4.3238982e-05]"
32,32,per:origin,"[0, 0.0005441746, 0.0005383603, 0.00025085022, 0.0017185454, 0.00026135295, 0.0506388, 0.0012914592, 0.0006100422, 0.0005223065, 0.0009774661, 0.34876752, 0.0055770692, 0.001301747, 0.0024942197, 0.4391646, 0.0009393317, 0.00076703465, 0.00029470914, 0.0003189679, 0.00025654832, 0.00038250096, 0.0003469133, 0.0011982012, 0.0010675251, 0.0005117042, 0.12484361, 0.01236119, 0.00070835266, 0.0013448736]"
33,33,org:members,"[0, 0.0033147028, 0.9802632, 0.0012791804, 2.9762004e-05, 0.0010698395, 0.00030242585, 0.006868073, 8.019358e-05, 0.00058365316, 0.00019511784, 0.00012603909, 6.130669e-05, 0.00015701141, 0.00010971873, 7.697094e-05, 0.000113201575, 0.00010500151, 0.00019770722, 0.00093040074, 0.0022340962, 7.7650424e-05, 0.00022645119, 0.00031987406, 0.00010582505, 0.00014275128, 8.628759e-05, 0.00012275921, 0.0007360076, 8.478406e-05]"
34,34,no_relation,"[0.88623046875, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284, 0.003923087284]"
35,35,per:title,"[0, 0.00040932078, 2.7530115e-05, 6.1737876e-05, 0.9919897, 7.436109e-05, 0.0022127673, 1.998472e-05, 0.0003882948, 3.1226187e-05, 3.966681e-05, 0.00019323148, 0.0003153733, 4.4773147e-05, 0.0016315924, 0.0012881773, 0.00010561104, 0.00011455576, 5.8623744e-05, 5.7827703e-05, 5.0933195e-05, 0.00021386164, 6.665685e-05, 4.7059526e-05, 6.721246e-05, 0.00015647408, 7.24614e-05, 5.5449673e-05, 0.00015178026, 5.379617e-05]"
36,36,no_relation,"[0.76904296875, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556, 0.00796403556]"
37,37,org:product,"[0, 0.000114520335, 0.0012178314, 0.99635446, 7.102488e-05, 0.0003391718, 2.6669964e-05, 5.3874814e-05, 0.00034283486, 0.00011044277, 5.572085e-05, 3.5818335e-05, 6.295528e-05, 3.7390946e-05, 3.6524787e-05, 1.50925625e-05, 7.651548e-05, 7.446978e-05, 5.226827e-05, 8.0128826e-05, 0.00022038023, 2.880896e-05, 8.2009006e-05, 4.1998737e-05, 7.8751844e-05, 5.701439e-05, 4.1998737e-05, 8.436472e-05, 0.000116309566, 9.066495e-05]"
38,38,no_relation,"[0.837646484375, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091, 0.005598397091]"
39,39,org:top_members/employees,"[0, 0.9628074, 0.007336782, 0.003022794, 0.001321851, 0.0007824064, 0.00029379496, 0.00023037722, 0.00027065663, 0.016469233, 0.00027357973, 0.00022350742, 6.224787e-05, 0.00020450194, 0.00016512623, 0.00014903351, 0.00040729687, 0.00020996579, 0.0003200033, 0.0005184032, 0.00133352, 0.00019666759, 0.0012861963, 0.0003550772, 0.0002328653, 0.00029624384, 0.00010682194, 0.00020133142, 0.0007526166, 0.0001697037]"
40,40,org:top_members/employees,"[0, 0.9871197, 0.0026456486, 0.0005871618, 0.00034873222, 0.000637047, 6.662173e-05, 0.0003180674, 6.98872e-05, 0.0009915073, 9.622668e-05, 0.000106930114, 2.1713566e-05, 5.7151785e-05, 6.3819716e-05, 6.501493e-05, 0.00013139789, 4.8314992e-05, 7.826994e-05, 0.00039748757, 0.0040420196, 5.5231358e-05, 0.00019960111, 0.00012016606, 7.231721e-05, 8.275031e-05, 3.5555728e-05, 6.375742e-05, 0.0014286148, 4.9219823e-05]"
41,41,no_relation,"[0.50927734375, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905, 0.016921470905]"
42,42,per:employee_of,"[0, 0.00016605211, 0.0001169464, 5.209776e-05, 0.0034782824, 8.021918e-05, 0.9644313, 6.1206585e-05, 0.0030102024, 0.00020201594, 0.00010847508, 0.00096399954, 0.0005131024, 0.00015178393, 0.0014670555, 0.022242555, 0.00012932152, 0.00014964977, 0.00015538337, 0.00023365705, 7.1837814e-05, 0.0001790199, 0.000109219145, 0.00019623125, 0.00013799853, 9.08115e-05, 0.00026603162, 0.00017487293, 0.00016916194, 0.00089155376]"
43,43,org:member_of,"[0, 0.00039187766, 0.00053302426, 0.00051511347, 0.0001395919, 0.00042777453, 0.000111727946, 0.05659104, 9.01273e-05, 0.00026609804, 0.00012641904, 0.00014089298, 7.977043e-05, 7.663959e-05, 0.00016780544, 8.047463e-05, 0.0001510823, 0.000121161174, 0.00014968714, 0.00024703352, 0.9386517, 0.00016706962, 0.00015234161, 8.0004465e-05, 0.00012312928, 0.00012482425, 6.9509086e-05, 5.853252e-05, 0.00011421008, 5.1302868e-05]"
44,44,no_relation,"[0.997121810913086, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05, 9.92479e-05]"
45,45,per:title,"[0, 8.350201e-05, 1.6456075e-05, 5.0220202e-05, 0.9969078, 3.585573e-05, 0.00040418253, 1.8073464e-05, 0.00016442468, 1.6895749e-05, 2.7531842e-05, 9.200897e-05, 0.00020165415, 2.2122456e-05, 0.0007851927, 0.0002687183, 7.538026e-05, 0.0003511599, 2.2735714e-05, 2.236138e-05, 2.571267e-05, 0.00010950371, 3.9035218e-05, 2.394345e-05, 2.835037e-05, 5.7563695e-05, 3.7705136e-05, 3.7558137e-05, 3.378217e-05, 4.0768973e-05]"
46,46,org:top_members/employees,"[0, 0.9988863, 4.9388782e-05, 3.3032822e-05, 8.7370514e-05, 3.4660385e-05, 3.1612617e-05, 2.6029236e-05, 1.7271612e-05, 5.2683303e-05, 2.9222621e-05, 4.228445e-05, 7.9113815e-06, 1.3616349e-05, 8.0450205e-05, 2.133801e-05, 2.3446664e-05, 3.057275e-05, 1.8959892e-05, 5.379457e-05, 3.054291e-05, 1.684682e-05, 8.660598e-05, 2.3264201e-05, 2.3378072e-05, 1.7466673e-05, 1.1692265e-05, 2.2780836e-05, 0.00021216515, 1.5264488e-05]"
47,47,per:title,"[0, 0.0038687252, 0.00037272339, 0.0005829504, 0.6017247, 0.0003377155, 0.19157296, 0.00025269034, 0.005033465, 0.0010371938, 0.00053703913, 0.00206258, 0.004518583, 0.000795244, 0.161952, 0.008206103, 0.0059919986, 0.0020522831, 0.0006151174, 0.00046025193, 0.00057167513, 0.0016702265, 0.00062663725, 0.00041256717, 0.00075145287, 0.0005909752, 0.000415803, 0.0008293491, 0.0012911237, 0.000865762]"
48,48,no_relation,"[0.639404296875, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591, 0.012434334591]"
49,49,no_relation,"[0.506103515625, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254, 0.017030913254]"
50,50,org:product,"[0, 0.00010225386, 0.00036760155, 0.9957948, 0.00023077041, 0.00030985396, 4.234569e-05, 3.758955e-05, 0.0014510554, 0.00010022714, 7.1193244e-05, 3.8972605e-05, 0.00012223255, 5.0434297e-05, 4.20983e-05, 2.2033113e-05, 8.055443e-05, 0.00010723964, 7.780963e-05, 6.194444e-05, 0.000108318476, 4.4988803e-05, 0.000112592155, 4.807777e-05, 9.6293414e-05, 7.83051e-05, 5.4505857e-05, 9.5824376e-05, 0.00013165768, 0.000118341755]"
51,51,no_relation,"[0.93389892578125, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387, 0.002279347387]"
52,52,no_relation,"[0.632568359375, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573, 0.012670056573]"
